id,family,species
00334,Tineidae,Amydria-effrenatella
00911,Depressariidae,Bibarrambla-allenella
00911,Depressariidae,Bibarrambla-allenella
00911,Depressariidae,Bibarrambla-allenella
00911,Depressariidae,Bibarrambla-allenella
00911,Depressariidae,Bibarrambla-allenella
00951,Depressariidae,Machimia-tentoriferella
00951,Depressariidae,Machimia-tentoriferella
00951,Depressariidae,Machimia-tentoriferella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
00957,Depressariidae,Psilocorsis-reflexella
01011,Depressariidae,Antaeotricha-schlaegeri
